,precision,recall,f1-score,support
angry,0.6218181818181818,0.7533039647577092,0.6812749003984063,227.0
disgust,0.47107438016528924,0.5022026431718062,0.4861407249466951,227.0
fearful,0.4863636363636364,0.4713656387665198,0.47874720357941836,227.0
happy,0.5051020408163265,0.43612334801762115,0.46808510638297873,227.0
neutral,0.47959183673469385,0.5136612021857924,0.49604221635883905,183.0
sad,0.5873015873015873,0.4889867841409692,0.5336538461538461,227.0
accuracy,0.5280728376327769,0.5280728376327769,0.5280728376327769,0.5280728376327769
macro avg,0.5252086105332859,0.5276072635067364,0.5239906663033639,1318.0
weighted avg,0.5267314770333907,0.5280728376327769,0.52492369498133,1318.0
