,precision,recall,f1-score,support
angry,0.7125506072874493,0.775330396475771,0.7426160337552743,227.0
disgust,0.6085106382978723,0.6299559471365639,0.6190476190476191,227.0
fearful,0.5947368421052631,0.4977973568281938,0.5419664268585132,227.0
happy,0.6129032258064516,0.5022026431718062,0.5520581113801453,227.0
neutral,0.6111111111111112,0.7814207650273224,0.6858513189448441,183.0
sad,0.5663716814159292,0.5638766519823789,0.565121412803532,227.0
accuracy,0.6198786039453718,0.6198786039453718,0.6198786039453718,0.6198786039453718
macro avg,0.6176973510040128,0.625097293437006,0.617776820464988,1318.0
weighted avg,0.6179172254769171,0.6198786039453718,0.6155042271925194,1318.0
