,precision,recall,f1-score,support
angry,0.737410071942446,0.9030837004405287,0.8118811881188119,227.0
disgust,0.8305084745762712,0.6475770925110133,0.7277227722772277,227.0
fearful,0.75,0.6740088105726872,0.7099767981438515,227.0
happy,0.8115183246073299,0.6828193832599119,0.7416267942583732,227.0
neutral,0.67578125,0.9453551912568307,0.7881548974943052,183.0
sad,0.6415094339622641,0.5991189427312775,0.6195899772209568,227.0
accuracy,0.7352048558421851,0.7352048558421851,0.7352048558421851,0.7352048558421851
macro avg,0.7411212591813853,0.7419938534620415,0.733158737918921,1318.0
weighted avg,0.743302564495483,0.7352048558421851,0.7313227508010782,1318.0
